('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;4.64%
2022-08-24 21:50:00;ATP US Open 2022 (hard);Laaksonen H.;Sousa P.;1.29;4.09;1;0.8772;1.3088;1.3088;0.68;0.32;0.68;2;3.09;-1;5.43;1.29;;;
2022-08-24 23:30:00;ATP US Open 2022 (hard);Seppi A.;Horansky F.;1.54;2.75;2;0.5544;1.76;1.76;0.36;0.64;0.64;2;-1;-1;4.43;2.75;;;
2022-08-25 00:25:00;ATP Winston-Salem 2022 (hard);Monteiro T.;Bonzi B.;2.68;1.56;2;0.9648;0.9984;0.9984;0.36;0.64;0.64;2;0.56;0.56;4.99;1.56;;;
2022-08-25 00:45:00;ATP Winston-Salem 2022 (hard);Thiem D.;Draper J.;2.74;1.53;2;0.6576;1.1628;1.1628;0.24;0.76;0.76;2;0.53;0.53;5.52;1.53;;;
2022-08-25 15:05:00;ATP US Open 2022 (hard);Quinn E.;Delbonis F.;2.62;1.6;2;0.6288;1.216;1.216;0.24;0.76;0.76;2;0.6;0.6;6.12;1.6;;;
2022-08-25 15:05:00;ATP US Open 2022 (hard);Passaro F.;Grenier H.;2.55;1.58;2;0.714;1.1376;1.1376;0.28;0.72;0.72;2;0.58;0.58;6.7;1.58;;;
2022-08-25 16:30:00;ATP US Open 2022 (hard);Travaglia S.;Wu Y.;5.19;1.18;2;1.038;0.944;1.038;0.2;0.8;0.8;1;-1;0.18;6.88;1.18;;;
2022-08-25 16:50:00;ATP US Open 2022 (hard);Ritschard A.;Svajda Z.;1.85;2.24;2;0.666;1.4336;1.4336;0.36;0.64;0.64;2;-1;-1;5.88;2.24;;;
2022-08-25 18:15:00;ATP US Open 2022 (hard);Bhambri Y.;Bergs Z.;3.04;1.49;2;0.7296;1.1324;1.1324;0.24;0.76;0.76;2;0.49;0.49;6.37;1.49;;;
2022-08-25 18:50:00;ATP US Open 2022 (hard);Cobolli F.;Kuzuhara B.;1.57;2.57;2;0.5652;1.6448;1.6448;0.36;0.64;0.64;2;-1;-1;5.37;2.57;;;
2022-08-25 19:00:00;ATP US Open 2022 (hard);Collarini A.;Zhang Z.;6.01;1.15;2;1.4424;0.874;1.4424;0.24;0.76;0.76;1;-1;0.15;5.52;1.15;;;
2022-08-25 19:10:00;ATP US Open 2022 (hard);Svrcina D.;Novak D.;2.87;1.5;2;1.0332;0.96;1.0332;0.36;0.64;0.64;1;-1;0.5;6.02;1.5;;;
2022-08-25 20:05:00;ATP US Open 2022 (hard);Kovalik J.;Machac T.;4.71;1.26;2;1.3188;0.9072;1.3188;0.28;0.72;0.72;1;-1;0.26;6.28;1.26;;;
2022-08-25 20:05:00;ATP US Open 2022 (hard);Jarry N.;Fratangelo B.;1.52;2.75;1;0.9728;0.99;0.99;0.64;0.36;0.64;2;-1;0.52;6.8;1.52;;;
2022-08-25 21:20:00;ATP US Open 2022 (hard);Couacaud E.;Struff J-L.;2.18;1.74;2;0.6976;1.1832;1.1832;0.32;0.68;0.68;2;-1;-1;5.8;1.74;;;
2022-08-25 21:30:00;ATP US Open 2022 (hard);Sousa P.;Jubb P.;3.5;1.35;1;2.24;0.486;2.24;0.64;0.36;0.64;1;-1;-1;4.8;3.5;;;
2022-08-25 21:45:00;ATP US Open 2022 (hard);Maestrelli F.;Masur D.;2.35;1.73;2;0.376;1.4532;1.4532;0.16;0.84;0.84;2;-1;-1;3.8;1.73;;;
2022-08-25 22:30:00;ATP US Open 2022 (hard);Brouwer G.;Mena F.;1.4;3.76;2;0.448;2.5568;2.5568;0.32;0.68;0.68;2;-1;-1;2.8;3.76;;;
2022-08-25 22:50:00;ATP US Open 2022 (hard);Kotov P.;Ofner S.;1.61;2.64;1;1.0948;0.8448;1.0948;0.68;0.32;0.68;1;0.61;0.61;3.41;1.61;;;
2022-08-25 23:30:00;ATP US Open 2022 (hard);Seppi A.;Pospisil V.;2.62;1.62;2;0.9432;1.0368;1.0368;0.36;0.64;0.64;2;-1;-1;2.41;1.62;;;
2022-08-26 15:05:00;ATP US Open 2022 (hard);Moutet C.;Wu Y.;1.78;2.18;2;0.2848;1.8312;1.8312;0.16;0.84;0.84;2;1.18;1.18;3.59;2.18;;;
2022-08-26 19:10:00;ATP US Open 2022 (hard);Cobolli F.;Machac T.;3.3;1.38;2;0.924;0.9936;0.9936;0.28;0.72;0.72;2;0.38;0.38;3.97;1.38;;;
2022-08-26 23:15:00;ATP US Open 2022 (hard);Kotov P.;Verdasco F.;1.68;2.25;1;1.1424;0.72;1.1424;0.68;0.32;0.68;1;0.68;0.68;4.65;1.68;;;
2022-08-29 15:05:00;ATP US Open 2022 (hard);Nishioka Y.;Davidovich Fokina A.;2.26;1.77;2;0.8136;1.1328;1.1328;0.36;0.64;0.64;2;0.77;0.77;5.42;1.77;;;
