('Date', 'Date');('Other', 'tournament-name');('Player', 'p1');('Player', 'p2');('Other', 'maxOdds_1');('Other', 'maxOdds_2');('modelPred', '');confIndexModel_p1;confIndexModel_p2;confIndexModel_max;modelProba1;modelProba2;probaModel_max;valueBetModel;PL_valueBetModel;PL_favoriteBetModel;CUMSUM FAV;OddFav;;ROI;2.68%
2022-08-19 23:10:00;ATP Cincinnati 2022 (hard);Auger-Aliassime F.;Coric B.;1.61;2.75;2;0.5474;1.815;1.815;0.34;0.66;0.66;2;1.75;1.75;7.06;2.75;;;
2022-08-20 00:45:00;ATP Cincinnati 2022 (hard);Norrie C.;Alcaraz C.;3.69;1.34;2;1.4022;0.8308;1.4022;0.38;0.62;0.62;1;2.69;-1;6.06;1.34;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Efstathiou M.;Mochizuki S.;7.03;1.15;2;0.8436;1.012;1.012;0.12;0.88;0.88;2;0.15;0.15;6.21;1.15;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Griekspoor T.;Pervolarakis M.;1.05;15.51;1;0.651;5.8938;5.8938;0.62;0.38;0.62;2;-1;0.05;6.26;1.05;;;
2022-08-20 15:10:00;ATP Winston-Salem 2022 (hard);Nava E.;O'Connell C.;12.71;1.07;2;2.542;0.856;2.542;0.2;0.8;0.8;1;-1;0.07;6.33;1.07;;;
2022-08-20 17:00:00;ATP Winston-Salem 2022 (hard);Daniel T.;Pecotic M.;1.14;6.29;2;0.5016;3.5224;3.5224;0.44;0.56;0.56;2;-1;-1;5.33;6.29;;;
2022-08-20 18:30:00;ATP Winston-Salem 2022 (hard);Montes-De La Torre I.;Kubler J.;8.74;1.12;2;1.748;0.896;1.748;0.2;0.8;0.8;1;-1;0.12;5.45;1.12;;;
2022-08-20 19:15:00;ATP Winston-Salem 2022 (hard);Young D.;Nava E.;4.96;1.22;2;1.1904;0.9272;1.1904;0.24;0.76;0.76;1;-1;0.22;5.67;1.22;;;
2022-08-20 23:45:00;ATP Cincinnati 2022 (hard);Norrie C.;Coric B.;1.76;2.35;2;0.5984;1.551;1.551;0.34;0.66;0.66;2;1.35;1.35;7.02;2.35;;;
2022-08-21 18:30:00;ATP Winston-Salem 2022 (hard);Fucsovics M.;Kubler J.;1.79;2.31;2;0.6444;1.4784;1.4784;0.36;0.64;0.64;2;1.31;1.31;8.33;2.31;;;
2022-08-21 20:45:00;ATP Cincinnati 2022 (hard);Tsitsipas S.;Coric B.;1.67;2.4;2;0.668;1.44;1.44;0.4;0.6;0.6;2;1.4;1.4;9.73;2.4;;;
2022-08-21 22:15:00;ATP Winston-Salem 2022 (hard);Kudla D.;Monteiro T.;1.85;2.12;1;1.036;0.9328;1.036;0.56;0.44;0.56;1;-1;-1;8.73;1.85;;;
2022-08-21 23:00:00;ATP Winston-Salem 2022 (hard);Djere L.;Goffin D.;3.74;1.35;2;1.2716;0.891;1.2716;0.34;0.66;0.66;1;2.74;-1;7.73;1.35;;;
2022-08-22 18:10:00;ATP Winston-Salem 2022 (hard);Kokkinakis T.;Duckworth J.;1.41;3.38;2;0.6204;1.8928;1.8928;0.44;0.56;0.56;2;2.38;2.38;10.11;3.38;;;
2022-08-22 20:20:00;ATP Winston-Salem 2022 (hard);Fucsovics M.;Tseng C. H.;1.81;2.21;2;0.5792;1.5028;1.5028;0.32;0.68;0.68;2;1.21;1.21;11.32;2.21;;;
2022-08-22 20:45:00;ATP Winston-Salem 2022 (hard);Nava E.;Johnson S.;2.65;1.56;1;1.961;0.4056;1.961;0.74;0.26;0.74;1;-1;-1;10.32;2.65;;;
2022-08-22 22:20:00;ATP Winston-Salem 2022 (hard);Ymer M.;Coria F.;1.21;5.92;1;0.7502;2.2496;2.2496;0.62;0.38;0.62;2;-1;0.21;10.53;1.21;;;
2022-08-22 23:10:00;ATP Winston-Salem 2022 (hard);Thiem D.;Wolf J.J.;1.85;2.13;1;1.073;0.8946;1.073;0.58;0.42;0.58;1;0.85;0.85;11.38;1.85;;;
2022-08-23 01:25:00;ATP Winston-Salem 2022 (hard);Basilashvili N.;Monteiro T.;2.75;1.57;2;1.1;0.942;1.1;0.4;0.6;0.6;1;-1;0.57;11.95;1.57;;;
2022-08-23 15:10:00;ATP US Open 2022 (hard);Escobedo E.;Quinn E.;1.48;2.75;2;0.5328;1.76;1.76;0.36;0.64;0.64;2;1.75;1.75;13.7;2.75;;;
